NOM DE L'ORGANISME,RÉPARTITION,SERVICE,DIRECTION,NUMÉRO DE DOSSIER,OBJET,NUMÉRO DÉCISION,DATE SIGNATURE,CONTRIBUTION MONÉTAIRE,ÉCART VERSUS VALEUR MARCHANCE DU LOYER,SOUTIEN TECHNIQUE,VALEUR TOTALE 
MONTRÉAL EN FÊTES,100% VILLE,SERVICE DE LA CULTURE,DIRECTION CINÉMA-FESTIVALS-ÉVÉNEMENTS,1181312001,"ACCORDER UN SOUTIEN FINANCIER AU MONTANT TOTAL DE 125 000 $ À L'ORGANISME MONTRÉAL EN FÊTES, POUR LA RÉALISATION DE « MONTRÉAL EN FÊTES ET LE SPECTACLE DU NOUVEL AN » DANS LE VIEUX-MONTRÉAL POUR L'ANNÉE 2018, APPROUVER LE PROJET DE CONVENTION DE CONTRIBUT",CM18 1504,2018-12-19,175000,,,175000
HABITATIONS COMMUNAUTAIRES DUFF COURT,100% VILLE,SERVICE DE LA MISE EN VALEUR DU TERRITOIRE,DIRECTION DE L'HABITATION,1180640006,ACCORDER UNE AIDE FINANCIÈRE À HABITATIONS COMMUNAUTAIRES DUFF COURT AU MONTANT DE 4 680 000 $ ET UN PRÊT DE 4 680 000 $ DANS LE CADRE DU FONDS D’INVESTISSEMENT MONTRÉAL (FIM) – PHASE 4 / APPROUVER À CET EFFET DEUX PROJETS DE CONVENTION / AUTORISER LA VIL,CM18 1505,2018-12-19,9360000,,,9360000
SOCIÉTÉ DU PATRIMOINE ANGUS,100% VILLE,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION MISE EN VALEUR DES PÔLES ÉCONOMIQUES,1187340008,ACCORDER UNE CONTRIBUTION FINANCIÈRE DE 20 000 000 $ À LA SOCIÉTÉ DU PATRIMOINE ANGUS POUR L'AMÉNAGEMENT DE L'ÎLOT CENTRAL DU TECHNOPÔLE ANGUS ENTRE LE 1ER JANVIER 2019 ET LE 1ER AVRIL 2029 / APPROUVER UN PROJET D'ENTENTE À CET EFFET,CM18 1506,2018-12-19,20000000,,,20000000
PARTENARIAT DU QUARTIER DES SPECTACLES,100% VILLE,DIRECTION GÉNÉRALE,DIRECTION GÉNÉRALE ADJOINTE - QUALITÉ DE VIE,1181103003,"APPROUVER LE PROJET DE CONVENTION VISANT L'OCTROI D'UNE SUBVENTION AU MONTANT TOTAL DE 19 912 000 $ AU PARTENARIAT DU QUARTIER DES SPECTACLES POUR UNE DURÉE DE 5 ANS, COUVRANT LES ANNÉES 2019 À 2023, POUR LA RÉALISATION DE SA MISSION DANS LE QUARTIER DES ",CM18 1507,2018-12-19,19912000,,,19912000
JEUNESSE AU SOLEIL,100% VILLE,SERVICE DE LA DIVERSITÉ SOCIALE ET DE L'INCLUSION SOCIALE,DIRECTION,1188056001,"ACCORDER UN SOUTIEN FINANCIER D'UNE SOMME MAXIMALE DE 1 145 000 $ SUR QUATRE ANS À JEUNESSE AU SOLEIL, SOIT UN MONTANT DE 170 000 $ POUR SES FRAIS DE DÉMÉNAGEMENT ET DE LOCATION ET UN MONTANT DE 975 000 $, EN TROIS VERSEMENTS ÉGAUX DE 325 000 $, POUR SES ",CM19 0065,2019-01-29,1145000,,,1145000
Y DES FEMMES DE MONTRÉAL,100% VILLE,SERVICE DE LA DIVERSITÉ SOCIALE ET DE L'INCLUSION SOCIALE,DIRECTION,1185970005,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 1 680 000 $ À 11 DIFFÉRENTS ORGANISMES, POUR L'ANNÉE 2019, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D'EUX, DANS LE CADRE DE L'ENTENTE ADMINISTRATIVE POUR L'ACCUEIL ET L'INTÉGRATION DES ",CM19 0066,2019-01-29,100000,,,100000
SINGA-QUÉBEC,100% VILLE,SERVICE DE LA DIVERSITÉ SOCIALE ET DE L'INCLUSION SOCIALE,DIRECTION,1185970005,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 1 680 000 $ À 11 DIFFÉRENTS ORGANISMES, POUR L'ANNÉE 2019, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D'EUX, DANS LE CADRE DE L'ENTENTE ADMINISTRATIVE POUR L'ACCUEIL ET L'INTÉGRATION DES ",CM19 0066,2019-01-29,150000,,,150000
CARREFOUR DES RESSOURCES INTERCULTUREL (CRIC),100% VILLE,SERVICE DE LA DIVERSITÉ SOCIALE ET DE L'INCLUSION SOCIALE,DIRECTION,1185970005,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 1 680 000 $ À 11 DIFFÉRENTS ORGANISMES, POUR L'ANNÉE 2019, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D'EUX, DANS LE CADRE DE L'ENTENTE ADMINISTRATIVE POUR L'ACCUEIL ET L'INTÉGRATION DES ",CM19 0066,2019-01-29,400000,,,400000
ENSEMBLE POUR LE RESPECT DE LA DIVERSITÉ,100% VILLE,SERVICE DE LA DIVERSITÉ SOCIALE ET DE L'INCLUSION SOCIALE,DIRECTION,1185970005,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 1 680 000 $ À 11 DIFFÉRENTS ORGANISMES, POUR L'ANNÉE 2019, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D'EUX, DANS LE CADRE DE L'ENTENTE ADMINISTRATIVE POUR L'ACCUEIL ET L'INTÉGRATION DES ",CM19 0066,2019-01-29,250000,,,250000
HAY DOUN,100% VILLE,SERVICE DE LA DIVERSITÉ SOCIALE ET DE L'INCLUSION SOCIALE,DIRECTION,1185970005,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 1 680 000 $ À 11 DIFFÉRENTS ORGANISMES, POUR L'ANNÉE 2019, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D'EUX, DANS LE CADRE DE L'ENTENTE ADMINISTRATIVE POUR L'ACCUEIL ET L'INTÉGRATION DES ",CM19 0066,2019-01-29,220000,,,220000
RÉSEAU DES ENTREPRENEURS ET PROFESSIONNELS AFRICAINS (REPAF),100% VILLE,SERVICE DE LA DIVERSITÉ SOCIALE ET DE L'INCLUSION SOCIALE,DIRECTION,1185970005,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 1 680 000 $ À 11 DIFFÉRENTS ORGANISMES, POUR L'ANNÉE 2019, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D'EUX, DANS LE CADRE DE L'ENTENTE ADMINISTRATIVE POUR L'ACCUEIL ET L'INTÉGRATION DES ",CM19 0066,2019-01-29,115000,,,115000
CENTRE DE LIAISON SUR L'INTERVENTION ET LA PRÉVENTION PSYCHOSOCIALE (CLIPP),100% VILLE,SERVICE DE LA DIVERSITÉ SOCIALE ET DE L'INCLUSION SOCIALE,DIRECTION,1185970005,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 1 680 000 $ À 11 DIFFÉRENTS ORGANISMES, POUR L'ANNÉE 2019, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D'EUX, DANS LE CADRE DE L'ENTENTE ADMINISTRATIVE POUR L'ACCUEIL ET L'INTÉGRATION DES ",CM19 0066,2019-01-29,100000,,,100000
CONCERT'ACTION LACHINE,100% VILLE,SERVICE DE LA DIVERSITÉ SOCIALE ET DE L'INCLUSION SOCIALE,DIRECTION,1185970005,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 1 680 000 $ À 11 DIFFÉRENTS ORGANISMES, POUR L'ANNÉE 2019, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D'EUX, DANS LE CADRE DE L'ENTENTE ADMINISTRATIVE POUR L'ACCUEIL ET L'INTÉGRATION DES ",CM19 0066,2019-01-29,100000,,,100000
CENTRE CULTUREL ALGÉRIEN,100% VILLE,SERVICE DE LA DIVERSITÉ SOCIALE ET DE L'INCLUSION SOCIALE,DIRECTION,1185970005,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 1 680 000 $ À 11 DIFFÉRENTS ORGANISMES, POUR L'ANNÉE 2019, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D'EUX, DANS LE CADRE DE L'ENTENTE ADMINISTRATIVE POUR L'ACCUEIL ET L'INTÉGRATION DES ",CM19 0066,2019-01-29,95000,,,95000
EQUIPE RDP,100% VILLE,SERVICE DE LA DIVERSITÉ SOCIALE ET DE L'INCLUSION SOCIALE,DIRECTION,1185970005,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 1 680 000 $ À 11 DIFFÉRENTS ORGANISMES, POUR L'ANNÉE 2019, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D'EUX, DANS LE CADRE DE L'ENTENTE ADMINISTRATIVE POUR L'ACCUEIL ET L'INTÉGRATION DES ",CM19 0066,2019-01-29,100000,,,100000
ACTION PRÉVENTION VERDUN,100% VILLE,SERVICE DE LA DIVERSITÉ SOCIALE ET DE L'INCLUSION SOCIALE,DIRECTION,1185970005,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 1 680 000 $ À 11 DIFFÉRENTS ORGANISMES, POUR L'ANNÉE 2019, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D'EUX, DANS LE CADRE DE L'ENTENTE ADMINISTRATIVE POUR L'ACCUEIL ET L'INTÉGRATION DES ",CM19 0066,2019-01-29,50000,,,50000
SOVERDI,100% VILLE,SERVICE DES GRANDS PARCS_DU MONT-ROYAL ET DES SPORTS,DIRECTION GESTION DES PARCS ET BIODIVERSITÉ,1188176001,ACCORDER UN SOUTIEN FINANCIER DE 1 418 675 $ À LA SOVERDI POUR LE RENFORCEMENT DE LA CANOPÉE MONTRÉALAISE SUR LES SITES PRIVÉS ET INSTITUTIONNELS POUR L'ANNÉE 2019 / APPROUVER UN PROJET DE CONVENTION À CETTE FIN.,CM19 0186,2019-02-27,1418675,,,1145000
CENTRE SOCIAL ET COMMUNAUTAIRE DE LA PETITE PATRIE,100% VILLE,SERVICE DE LA DIVERSITÉ SOCIALE ET DE L'INCLUSION SOCIALE,DIRECTION,1194970002,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT DE 500 000 $ À CENTRE SOCIAL ET COMMUNAUTAIRE DE LA PETITE PATRIE, POUR L'ANNÉE 2019, DANS LE CADRE DU BUDGET DU SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE, EN SOUTIEN À L'ACQUISITION DE L'IMMEUBLE SITUÉ ",CM19 0187,2019-02-27,500000,,,1145000
NUIT BLANCHE À MONTRÉAL INC.,100% VILLE,SERVICE DE LA CULTURE,DIRECTION CINÉMA-FESTIVALS-ÉVÉNEMENTS,1191508001,"ACCORDER UN SOUTIEN FINANCIER DE DEUX CENT MILLE DOLLARS (200 000 $) À L'ORGANISME NUIT BLANCHE À MONTRÉAL INC., POUR SOUTENIR LE FINANCEMENT DES ORGANISMES PARTENAIRES DE DIFFUSION DE LA NUIT BLANCHE À MONTRÉAL 2019 / APPROUVER UN PROJET DE CONVENTION À ",CM19 0188,2019-02-27,200000,,,1145000
FESTIVAL MONTRÉAL EN LUMIÈRE INC.,100% VILLE,SERVICE DE LA CULTURE,DIRECTION CINÉMA-FESTIVALS-ÉVÉNEMENTS,1191508002,"ACCORDER UN SOUTIEN FINANCIER DE SIX CENT MILLE DOLLARS (600 000 $) À L'ORGANISME FESTIVAL MONTRÉAL EN LUMIÈRE INC., POUR SOUTENIR LA 20E ÉDITION DE MONTRÉAL EN LUMIÈRE 2019 / APPROUVER UN PROJET DE CONVENTION À CETTE FIN. APPROUVER UN PROTOCOLE DE SOUTIE",CM19 0189,2019-02-27,600000,,,1145000
UNITED IRISH SOCIETIES OF MONTRÉAL INC.,100% VILLE,SERVICE DE LA CULTURE,DIRECTION CINÉMA-FESTIVALS-ÉVÉNEMENTS,1197883002,"APPROUVER LE PROTOCOLE D'ENTENTE DE SOUTIEN FINANCIER DE 30 000 $ ET DE SOUTIEN TECHNIQUE ESTIMÉ À 150 000 $ AVEC L'ORGANISME UNITED IRISH SOCIETIES OF MONTRÉAL INC. POUR LA PRÉSENTATION DU DÉFILÉ DE LA SAINT-PATRICK POUR LES ANNÉES 2019, 2020 ET 2021 / A",CM19 0190,2019-02-27,30000,,,1145000
FONDATION ESPACE POUR LA VIE,100% VILLE,SERVICE DE L'ESPACE POUR LA VIE,DIRECTION,1190348002,"ACCORDER UN SOUTIEN FINANCIER DE 750 000 $ À LA FONDATION ESPACE POUR LA VIE AFIN DE FINANCER SES OPÉRATIONS POUR LES ANNÉES 2019, 2020 ET 2021 ET APPROUVER UN PROJET DE CONVENTION À CET EFFET.",CM19 0326,2019-03-27,750000,,,1145000
MONTRÉAL EN HISTOIRES,100% VILLE,SERVICE DE LA CULTURE,DIRECTION,1191103001,"APPROUVER UN PROJET DE CONVENTION VISANT À ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT, AU MONTANT DE 450 000 $, À L'ORGANISME MONTRÉAL EN HISTOIRES POUR SUPPORTER LES COÛTS D'OPÉRATION DE L'ÉVÉNEMENT CITÉ MÉMOIRE EN 2019.",CM19 0337,2019-03-27,450000,,,1145000
FESTIVAL DU NOUVEAU CINÉMA DE MONTRÉAL,100% VILLE,SERVICE DE LA CULTURE,DIRECTION CINÉMA-FESTIVALS-ÉVÉNEMENTS,1197195004,"ACCORDER UN SOUTIEN FINANCIER DE CENT QUATRE VINGT MILLE DOLLARS (180 000 $) À L'ORGANISME ""FESTIVAL DU NOUVEAU CINÉMA DE MONTRÉAL"", POUR SOUTENIR LA 48E ÉDITION DU FESTIVAL DU NOUVEAU CINÉMA 2019 / APPROUVER UN PROJET DE CONVENTION À CETTE FIN",CM19 0425,2019-04-16,180000,,,180000
SOCIÉTÉ DE DÉVELOPPEMENT COMMERCIAL VIEUX-MONTRÉAL - QUARTIER HISTORIQUE,100% VILLE,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION MISE EN VALEUR DES PÔLES ÉCONOMIQUES,1191179005,"ACCORDER UNE CONTRIBUTION FINANCIÈRE DE 292 000 $, POUR UNE PÉRIODE DE DEUX (2) ANS, SOIT DE 2019 À 2020, À LA SOCIÉTÉ DE DÉVELOPPEMENT COMMERCIAL DU VIEUX-MONTRÉAL - QUARTIER HISTORIQUE AFIN D’EMBAUCHER UNE RESSOURCE PROFESSIONNELLE PERTINENTE ET DE RÉAL",CM19 0426,2019-04-18,292000,,,292000
ASSOCIATION DES GENS D'AFFAIRES DE CHARLEROI ET DE PIE IX,100% VILLE,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION MISE EN VALEUR DES PÔLES ÉCONOMIQUES,1191179004,"ACCORDER UNE CONTRIBUTION FINANCIÈRE DE 656 000 $ POUR UNE PÉRIODE DE QUATRE (4) ANS, SOIT DE 2019 À 2022, À L'ASSOCIATION DES GENS D'AFFAIRES DE CHARLEROI ET DE PIE IX AFIN D’EMBAUCHER UNE RESSOURCE PROFESSIONNELLE PERTINENTE ET DE RÉALISER DES PROJETS M",CM19 0427,2019-04-16,656000,,,656000
OFFICE MUNICIPAL D'HABITATION DE MONTRÉAL,100% VILLE,SERVICE DE L'HABITATION,DIRECTION,1196705001,"AUTORISER UNE DÉPENSE ADDITIONNELLE DE 60 000 $, TAXES INCLUSES, POUR L'ANNÉE 2019, À L'OFFICE MUNICIPAL D'HABITATION DE MONTRÉAL (OMHM) AFIN DE POURSUIVRE L'AIDE DU SERVICE DE RÉFÉRENCE AUX ORGANISMES FINANCÉS PAR LE MINISTÈRE DE L'IMMIGRATION, DE LA DIV",CM19 0428,2019-04-16,60000,,,60000
SOCIÉTÉ DES DIRECTEURS DE MUSÉES MONTRÉALAIS,50% VILLEe 50% AUTRE,SERVICE DE LA CULTURE,DIRECTION DU DÉVELOPPEMENT CULTUREL,1197233002,"ACCORDER UN SOUTIEN FINANCIER DE 170 000 $ À MUSÉES MONTRÉAL (SDMM), POUR L'ANNÉE 2019, AFIN DE POURSUIVRE LE PARTENARIAT DANS LE CADRE DE L'ENTENTE SUR LE DÉVELOPPEMENT CULTUREL 2018-2021 ENTRE LE MINISTÈRE DE LA CULTURE ET DES COMMUNICATIONS ET LA VILLE",CM19 0552,2019-05-15,170000,,,170000
FESTIVAL TRANSAMÉRIQUES,100% VILLE,SERVICE DE LA CULTURE,DIRECTION CINÉMA-FESTIVALS-ÉVÉNEMENTS,1197195006,"ACCORDER UN SOUTIEN FINANCIER DE QUATRE CENT MILLE DOLLARS (400 000 $) À L'ORGANISME FESTIVAL TRANSAMÉRIQUES, POUR SOUTENIR LA 13E ÉDITION DU FESTIVAL TRANSAMÉRIQUES 2019 / APPROUVER UN PROJET DE CONVENTION À CETTE FIN.",CM19 0561,2019-05-15,400000,,,400000
LA VITRINE CULTURELLE,100% VILLE,SERVICE DE LA CULTURE,DIRECTION DU DÉVELOPPEMENT CULTUREL,1193205006,ACCORDER À LA VITRINE CULTURELLE DE MONTRÉAL UN SOUTIEN FINANCIER ANNUEL DE 350 000 $ EN 2019 POUR LA RÉALISATION DE SON PLAN D'ACTION 2019-2020 / APPROUVER LA CONVENTION À CET EFFET.,CM19 0562,2019-05-15,350000,,,350000
ALTERGO,100% VILLE,SERVICE DE LA DIVERSITÉ SOCIALE ET DE L'INCLUSION SOCIALE,DIRECTION,1197986002,"ACCORDER UN SOUTIEN FINANCIER 455 500 $ À ALTERGO, POUR L'ANNÉE 2019, POUR REDISTRIBUER AUX ORGANISMES FINANCÉS PAR LE PROGRAMME D'ACCOMPAGNEMENT EN LOISIR DE L'ÎLE DE MONTRÉAL (PALÎM) / ACCORDER UN CONTRAT DE SERVICES PROFESSIONNELS À ALTERGO, POUR UNE S",CM19 0563,2019-05-15,455500,,,455500
ALTERGO,100% VILLE,SERVICE DE LA DIVERSITÉ SOCIALE ET DE L'INCLUSION SOCIALE,DIRECTION,1197986002,"ACCORDER UN SOUTIEN FINANCIER 455 500 $ À ALTERGO, POUR L'ANNÉE 2019, POUR REDISTRIBUER AUX ORGANISMES FINANCÉS PAR LE PROGRAMME D'ACCOMPAGNEMENT EN LOISIR DE L'ÎLE DE MONTRÉAL (PALÎM) / ACCORDER UN CONTRAT DE SERVICES PROFESSIONNELS À ALTERGO, POUR UNE S",CM19 0563,2019-05-15,71500,,,71500
LES FRANCOFOLIES DE MONTRÉAL INC.,100% VILLE,SERVICE DE LA CULTURE,DIRECTION CINÉMA-FESTIVALS-ÉVÉNEMENTS,1197195012,"ACCORDER UN SOUTIEN FINANCIER DE TROIS CENT VINGT-CINQ MILLE DOLLARS (325 000 $) À L'ORGANISME LES FRANCOSFOLIES DE MONTRÉAL INC., POUR SOUTENIR LA 31E ÉDITION DES FRANCOFOLIES DE MONTRÉAL 2019 / APPROUVER UN PROJET DE PROTOCOLE FINANCIER ET TECHNIQUE À C",CM19 0564,2019-05-15,325000,,,325000
SOCIÉTÉ DE DÉVELOPPEMENT HOCHELAGA-MAISONNEUVE,100% VILLE,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION MISE EN VALEUR DES PÔLES ÉCONOMIQUES,1191179008,"ACCORDER UNE CONTRIBUTION FINANCIÈRE DE 330 000 $, POUR UNE PÉRIODE DE TROIS (2) ANS, SOIT DE 2019 À 2021, À LA SOCIÉTÉ DE DÉVELOPPEMENT COMMERCIAL HOCHELAGA-MAISONNEUVE AFIN D’EMBAUCHER UNE RESSOURCE PROFESSIONNELLE PERTINENTE ET DE RÉALISER DES PROJETS ",CM19 0728,2019-06-19,330000,,,330000
SOCIÉTÉ DU CHÂTEAU DUFRESNE,100% VILLE,SERVICE DE LA CULTURE,DIRECTION DU DÉVELOPPEMENT CULTUREL,1197233004,"ACCORDER UN SOUTIEN FINANCIER DE 183 692$ À LA SOCIÉTÉ DU CHÂTEAU DUFRESNE, POUR LES ANNÉES 2019-2020 ET 2020-2021, AFIN DE POURSUIVRE LE PARTENARIAT DANS LE CADRE DE L'ENTENTE SUR LE DÉVELOPPEMENT CULTUREL 2018-2021 ENTRE LE MINISTÈRE DE LA CULTURE ET DE",CM19 0730,2019-06-19,183692,,,183692
COMITÉ DE LA FÊTE NATIONALE DE LA ST-JEAN INC,100% VILLE,SERVICE DE LA CULTURE,DIRECTION CINÉMA-FESTIVALS-ÉVÉNEMENTS,1195877001,APPROUVER LE PROTOCOLE D'ENTENTE DE SOUTIEN FINANCIER AU MONTANT DE 105 000 $ ET DE SOUTIEN TECHNIQUE AU MONTANT DE 75 000 $ AVEC LE « COMITÉ DE LA FÊTE NATIONALE DE LA ST-JEAN INC. » POUR LA RÉALISATION DES ACTIVITÉS DANS LE CADRE DE LA FÊTE NATIONALE DU,CM19 0734,2019-06-19,105000,,,105000
TOHU,100% VILLE,SERVICE DE LA CULTURE,DIRECTION CINÉMA-FESTIVALS-ÉVÉNEMENTS,1197195009,"ACCORDER UN SOUTIEN FINANCIER DE SIX CENT TRENTE MILLE DOLLARS (630 000 $) À L'ORGANISME TOHU, CITÉ DES ARTS DU CIRQUE, POUR SOUTENIR LA 10E ÉDITION DU FESTIVAL MONTRÉAL COMPLÈTEMENT CIRQUE 2019 / APPROUVER UN PROJET DE PROTOCOLE FINANCIER À CETTE FIN / A",CM19 0750,2019-06-19,630000,,,630000
PRODUCTIONS NUITS D'AFRIQUE INC,100% VILLE,SERVICE DE LA CULTURE,DIRECTION CINÉMA-FESTIVALS-ÉVÉNEMENTS,1197195011,"ACCORDER UN SOUTIEN FINANCIER DE CENT VINGT MILLE DOLLARS (120 000 $) À L'ORGANISME PRODUCTIONS NUITS D'AFRIQUE INC., POUR SOUTENIR LA 33E ÉDITION DU FESTIVAL INTERNATIONAL NUITS D'AFRIQUE 2019 / APPROUVER UN PROJET DE PROTOCOLE FINANCIER ET TECHNIQUE À C",CM19 0753,2019-06-19,120000,,,120000
FESTIVAL INTERNATIONAL DE JAZZ DE MONTRÉAL,100% VILLE,SERVICE DE LA CULTURE,DIRECTION CINÉMA-FESTIVALS-ÉVÉNEMENTS,1197195013,ACCORDER UN SOUTIEN FINANCIER DE SIX CENT QUARANTE MILLE DOLLARS (640 000 $) À L'ORGANISME FESTIVAL INTERNATIONAL DE JAZZ DE MONTRÉAL INC. POUR SOUTENIR LA 40E ÉDITION DU FESTIVAL INTERNATIONAL DE JAZZ DE MONTRÉAL 2019 (INCLUANT 40 000 $ POUR LE NOUVEAU P,CM19 0886,2019-08-21,640000,,,640000
FESTIVAL JUSTE POUR RIRE,100% VILLE,SERVICE DE LA CULTURE,DIRECTION CINÉMA-FESTIVALS-ÉVÉNEMENTS,1197195010,"ACCORDER UN SOUTIEN FINANCIER DE SIX CENT MILLE DOLLARS (600 000 $) À L'ORGANISME FESTIVAL JUSTE POUR RIRE/JUST FOR LAUGHS, POUR SOUTENIR LA 37E ÉDITION DU FESTIVAL JUSTE POUR RIRE 2019 / APPROUVER UN PROJET DE PROTOCOLE FINANCIER À CETTE FIN / APPROUVER ",CM19 0887,2019-08-21,600000,,,600000
FESTIVAL FIERTÉ MONTRÉAL,100% VILLE,SERVICE DE LA CULTURE,DIRECTION CINÉMA-FESTIVALS-ÉVÉNEMENTS,1197209002,"ACCORDER UN SOUTIEN FINANCIER 205 000 $ À L'ORGANISME FIERTÉ MONTRÉAL, POUR LA TENUE DES ÉVÉNEMENTS DU FESTIVAL FIERTÉ MONTRÉAL 2019 ; APPROUVER UN PROTOCOLE FINANCIER À CET EFFET; APPROUVER UN PROTOCOLE DE SOUTIEN TECHNIQUE, D'UNE VALEUR DE 200 000 $, À ",CM19 0899,2019-08-21,205000,,,205000
SOCIÉTÉ DU PARC JEAN-DRAPEAU,100% VILLE,SERVICE DE LA CULTURE,DIRECTION CINÉMA-FESTIVALS-ÉVÉNEMENTS,1195877004,ACCORDER UN SOUTIEN FINANCIER DE 785 000 $ À LA SOCIÉTÉ DU PARC JEAN-DRAPEAU POUR LA RÉALISATION DES WEEK-ENDS DU MONDE AU PARC JEAN-DRAPEAU EN JUILLET 2019 / MANDATER LE SERVICE DE LA CULTURE POUR LE SUIVI DU DOSSIER.,CM19 0909,2019-08-21,785000,,,785000
FECHIMM,100% VILLE,SERVICE DE LA DIVERSITÉ SOCIALE ET DE L'INCLUSION SOCIALE,DIRECTION,1197798004,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 219 356 $ À LA FÉDÉRATION DES COOPÉRATIVES D'HABITATION INTERMUNICIPALE DU MONTRÉAL MÉTROPOLITAIN (FECHIMM), POUR LA PÉRIODE 2019-2021, POUR SON PROJET « LE LOGEMENT, CLEF POUR UNE INTÉGRATION RÉUSSIE »",CM19 0910,2019-08-21,219356,,,219356
TABLE DE CONCERTATION DES ORGANISMES AU SERVICE DES PERSONNES RÉFUGIÉES ET IMMIGRANTES INC.,100% VILLE,SERVICE DE LA DIVERSITÉ SOCIALE ET DE L'INCLUSION SOCIALE,DIRECTION,1198119001,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT 187 528 $ À LA TABLE DE CONCERTATION DES ORGANISMES AU SERVICE DES PERSONNES RÉFUGIÉES ET IMMIGRANTES INC. (TCRI) POUR LA PÉRIODE 2019-2021, POUR SON PROJET DE FORMATION « NOS QUARTIERS INTERCULTURELS » DANS LE CAD",CM19 0911,2019-08-21,187528,,,187528
ALTERNATIVE NAISSANCE,100% VILLE,SERVICE DE LA DIVERSITÉ SOCIALE ET DE L'INCLUSION SOCIALE,DIRECTION,1198444003,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 2 935 819 $, POUR 2019 ET 2020, À 23 DIFFÉRENTS ORGANISMES POUR LE PROJET ET LE MONTANT INDIQUÉ EN REGARD DE CHACUN D'EUX, DANS LE CADRE DE LA POLITIQUE DE L'ENFANT 2019-2020 / APPROUVER LES 23 PROJETS ",CM19 1021,2019-09-17,36857,,,36857
CENTRE DE DÉVELOPPEMENT COMMUNAUTAIRE AUTOCHTONE À MONTRÉAL,100% VILLE,SERVICE DE LA DIVERSITÉ SOCIALE ET DE L'INCLUSION SOCIALE,DIRECTION,1198444003,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 2 935 819 $, POUR 2019 ET 2020, À 23 DIFFÉRENTS ORGANISMES POUR LE PROJET ET LE MONTANT INDIQUÉ EN REGARD DE CHACUN D'EUX, DANS LE CADRE DE LA POLITIQUE DE L'ENFANT 2019-2020 / APPROUVER LES 23 PROJETS ",CM19 1021,2019-09-17,80000,,,80000
CENTRE D'EXPERTISE EN AGRESSION SEXUELLE MARIE-VINCENT,100% VILLE,SERVICE DE LA DIVERSITÉ SOCIALE ET DE L'INCLUSION SOCIALE,DIRECTION,1198444003,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 2 935 819 $, POUR 2019 ET 2020, À 23 DIFFÉRENTS ORGANISMES POUR LE PROJET ET LE MONTANT INDIQUÉ EN REGARD DE CHACUN D'EUX, DANS LE CADRE DE LA POLITIQUE DE L'ENFANT 2019-2020 / APPROUVER LES 23 PROJETS ",CM19 1021,2019-09-17,105733,,,105733
